category_id,is_active,position,level,parent_id,name,url_key,description,created_at,updated_at,children_count,include_in_menu
107,1,4,3,97,"C Series",c-series,,2019-12-19T17:52:41+00:00,"2020-03-06 11:24:24",0,1
108,1,5,3,97,"6 Series",6-series,,2019-12-19T17:53:08+00:00,"2019-12-19 18:58:38",0,1
109,1,1,3,95,"MiVue™ Drive",mivue-drive,,2019-12-19T17:54:33+00:00,"2019-12-19 19:10:20",0,1
110,1,2,3,95,Pilot™,pilot,,2019-12-19T17:55:06+00:00,"2019-12-19 19:10:42",0,1
111,1,3,3,95,Spirit,spirit,,2019-12-19T17:55:34+00:00,"2019-12-19 19:12:53",0,1
112,1,8,3,97,"Other Series",other-series,,2019-12-19T17:56:16+00:00,"2019-12-19 19:02:18",0,1
113,1,7,3,95,"Other Series",other-series,,2019-12-19T18:12:33+00:00,"2019-12-19 18:12:33",0,1
114,1,1,3,94,Cyclo™,cyclo,,2019-12-19T18:13:36+00:00,"2019-12-19 19:18:27",0,1
115,1,6,3,97,"5 Series",5-series,,2019-12-19T18:25:58+00:00,"2019-12-19 19:20:23",0,1
116,1,7,3,97,"A Series",a-series,,2019-12-19T19:02:51+00:00,"2019-12-19 19:08:55",0,1
117,1,4,3,95,Combo,combo,,2019-12-19T19:04:35+00:00,"2019-12-19 19:13:52",0,1
118,1,5,3,95,Classic,classic,,2019-12-19T19:05:06+00:00,"2019-12-19 19:14:43",0,1
119,1,6,3,95,Moov,moov,,2019-12-19T19:05:43+00:00,"2019-12-19 19:15:29",0,1
120,0,13,2,2,"Cyclo Accessory",cyclo-acc,,2019-12-26T13:51:27+00:00,"2019-12-26 13:54:54",0,1
121,0,14,2,2,"Satsuma Promotion 2017",satsuma-promotion-17,"<p>Enter promotional code: <b>15 promo</b> at the checkout, for your 15% discount.</p>",2019-12-26T13:58:06+00:00,"2019-12-26 14:03:07",0,1
122,0,15,2,2,Wearable,wearable,,2019-12-26T14:04:47+00:00,"2019-12-26 14:04:47",0,1
123,0,2,3,12,"Dash Camera",dash-camera,,2020-01-06T14:24:39+00:00,"2020-05-22 11:24:54",10,1
124,1,8,3,12,"Car Camera and PND",car-camera-and-pnd,,2020-01-14T17:56:14+00:00,"2020-01-14 17:58:06",0,1
125,0,1,4,123,"Car cameras",car-cameras,,2020-01-16T14:30:55+00:00,"2020-05-07 14:12:39",5,1
126,0,1,5,125,"7 Series",7-series,,2020-01-16T14:31:24+00:00,"2020-11-04 13:49:10",0,1
127,0,3,5,125,"C Series",c-series,,2020-01-16T14:32:05+00:00,"2020-05-07 14:14:22",0,1
128,0,4,5,125,"Rear Cam",rear-cam,,2020-01-16T14:32:37+00:00,"2020-10-30 15:05:49",0,1
129,0,2,4,123,"Rider Cameras",rider-cameras,,2020-01-16T14:33:35+00:00,"2020-03-17 13:45:57",1,1
130,0,2,5,125,"J Series",j-series,,2020-01-16T16:56:20+00:00,"2020-03-06 16:48:49",0,1
