attribute_id,code,label,type,required,scope,options
878,s8_template,s8_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
879,s9_template,s9_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
880,s10_template,s10_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
881,s11_template,s11_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
882,s12_template,s12_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
883,s13_template,s13_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
884,s14_template,s14_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
885,s15_template,s15_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
886,s1_title_1,s1_title_1,text,0,store,
887,s1_title_2,s1_title_2,text,0,store,
888,s1_title_3,s1_title_3,text,0,store,
889,s1_title_4,s1_title_4,text,0,store,
890,s2_title_1,s2_title_1,text,0,store,
891,s2_title_2,s2_title_2,text,0,store,
892,s2_title_3,s2_title_3,text,0,store,
893,s2_title_4,s2_title_4,text,0,store,
894,s3_title_1,s3_title_1,text,0,store,
895,s3_title_2,s3_title_2,text,0,store,
896,s3_title_3,s3_title_3,text,0,store,
897,s3_title_4,s3_title_4,text,0,store,
898,s4_title_1,s4_title_1,text,0,store,
899,s4_title_2,s4_title_2,text,0,store,
900,s4_title_3,s4_title_3,text,0,store,
901,s4_title_4,s4_title_4,text,0,store,
902,s5_title_1,s5_title_1,text,0,store,
903,s5_title_2,s5_title_2,text,0,store,
904,s5_title_3,s5_title_3,text,0,store,
905,s5_title_4,s5_title_4,text,0,store,
906,s6_title_1,s6_title_1,text,0,store,
907,s6_title_2,s6_title_2,text,0,store,
908,s6_title_3,s6_title_3,text,0,store,
909,s6_title_4,s6_title_4,text,0,store,
910,s7_title_1,s7_title_1,text,0,store,
911,s7_title_2,s7_title_2,text,0,store,
912,s7_title_3,s7_title_3,text,0,store,
913,s7_title_4,s7_title_4,text,0,store,
914,s8_title_1,s8_title_1,text,0,store,
915,s8_title_2,s8_title_2,text,0,store,
916,s8_title_3,s8_title_3,text,0,store,
917,s8_title_4,s8_title_4,text,0,store,
918,s9_title_1,s9_title_1,text,0,store,
919,s9_title_2,s9_title_2,text,0,store,
920,s9_title_3,s9_title_3,text,0,store,
921,s9_title_4,s9_title_4,text,0,store,
922,s10_title_1,s10_title_1,text,0,store,
923,s10_title_2,s10_title_2,text,0,store,
924,s10_title_3,s10_title_3,text,0,store,
925,s10_title_4,s10_title_4,text,0,store,
926,s11_title_1,s11_title_1,text,0,store,
927,s11_title_2,s11_title_2,text,0,store,
928,s11_title_3,s11_title_3,text,0,store,
929,s11_title_4,s11_title_4,text,0,store,
930,s12_title_1,s12_title_1,text,0,store,
931,s12_title_2,s12_title_2,text,0,store,
932,s12_title_3,s12_title_3,text,0,store,
933,s12_title_4,s12_title_4,text,0,store,
934,s13_title_1,s13_title_1,text,0,store,
935,s13_title_2,s13_title_2,text,0,store,
936,s13_title_3,s13_title_3,text,0,store,
937,s13_title_4,s13_title_4,text,0,store,
938,s14_title_1,s14_title_1,text,0,store,
939,s14_title_2,s14_title_2,text,0,store,
